726 images
  [GRAPH] 10 branches traced, 136/136 nodes assigned, 0 orphans, 132 edges, 5 components
  [GRAPH] 16 branches traced, 98/99 nodes assigned, 1 orphans, 89 edges, 11 components
  [GRAPH] 5 branches traced, 131/131 nodes assigned, 0 orphans, 126 edges, 5 components
  [GRAPH] 4 branches traced, 18/20 nodes assigned, 2 orphans, 16 edges, 4 components
  [GRAPH] 25 branches traced, 135/135 nodes assigned, 0 orphans, 140 edges, 4 components
  [GRAPH] 12 branches traced, 141/141 nodes assigned, 0 orphans, 140 edges, 4 components
  [GRAPH] 7 branches traced, 124/124 nodes assigned, 0 orphans, 119 edges, 5 components
  [GRAPH] 7 branches traced, 124/124 nodes assigned, 0 orphans, 119 edges, 5 components
  [GRAPH] 7 branches traced, 124/124 nodes assigned, 0 orphans, 119 edges, 5 components
  [GRAPH] 6 branches traced, 99/99 nodes assigned, 0 orphans, 95 edges, 4 components
  [GRAPH] 6 branches traced, 112/112 nodes assigned, 0 orphans, 108 edges, 4 components
  [GRAPH] 720 branches traced, 428/428 nodes assigned, 0 orphans, 733 edges, 8 components
  [GRAPH] 1331 branches traced, 770/770 nodes assigned, 0 orphans, 1344 edges, 19 components
  [GRAPH] 1390 branches traced, 848/848 nodes assigned, 0 orphans, 1406 edges, 23 components
  [GRAPH] 26 branches traced, 176/176 nodes assigned, 0 orphans, 178 edges, 5 components
  [GRAPH] 27 branches traced, 135/135 nodes assigned, 0 orphans, 137 edges, 5 components
  [GRAPH] 20 branches traced, 123/123 nodes assigned, 0 orphans, 123 edges, 4 components
  [GRAPH] 25 branches traced, 128/128 nodes assigned, 0 orphans, 129 edges, 5 components
  [GRAPH] 36 branches traced, 136/136 nodes assigned, 0 orphans, 142 edges, 4 components
  [GRAPH] 26 branches traced, 100/108 nodes assigned, 8 orphans, 109 edges, 4 components
  [GRAPH] 8 branches traced, 116/116 nodes assigned, 0 orphans, 112 edges, 4 components
  [GRAPH] 5 branches traced, 12/15 nodes assigned, 3 orphans, 10 edges, 5 components
  [GRAPH] 6 branches traced, 122/122 nodes assigned, 0 orphans, 118 edges, 4 components
  [GRAPH] 4 branches traced, 111/111 nodes assigned, 0 orphans, 107 edges, 4 components
  [GRAPH] 11 branches traced, 110/110 nodes assigned, 0 orphans, 108 edges, 4 components
  [GRAPH] 19 branches traced, 118/118 nodes assigned, 0 orphans, 119 edges, 4 components
  [GRAPH] 19 branches traced, 118/118 nodes assigned, 0 orphans, 119 edges, 4 components
  [GRAPH] 25 branches traced, 119/119 nodes assigned, 0 orphans, 123 edges, 3 components
  [GRAPH] 18 branches traced, 100/100 nodes assigned, 0 orphans, 102 edges, 3 components
  [GRAPH] 662 branches traced, 400/400 nodes assigned, 0 orphans, 669 edges, 6 components
  [GRAPH] 1171 branches traced, 719/719 nodes assigned, 0 orphans, 1175 edges, 26 components
