model,stem,arm,L,iou,precision,recall,bytes,n_components,n_components_ref,total_length_px,total_length_px_ref,mean_width_px,mean_width_px_ref,n_branches,n_branches_ref,n_junctions,n_junctions_ref,cycle_rank,cycle_rank_ref,junc_f1_3,end_f1_3
clean_base,7471,GRAPH7,5,0.8355941399891481,0.8855664174813112,0.9367396593673966,210.0,4,5,305.75,297.86500705120545,5.675360551959432,5.420983871490147,10,9,3,2,0,0,0.8,0.7826086956521738
clean_base,7967,SEG,0,0.8565264293419633,0.9017603634298694,0.9446757882212968,,6,6,291.0071426749364,284.9360748630709,6.022851879154417,5.734187681206059,12,12,3,3,1,1,0.0,0.5
clean_base,7967,SEG,5,0.8565264293419633,0.9017603634298694,0.9446757882212968,,6,6,283.1787155501902,277.6934341759516,6.040277983971188,5.748885146988736,7,7,1,1,1,1,0.0,0.5454545454545454
clean_base,7967,GRAPH7,0,0.8565264293419633,0.9017603634298694,0.9446757882212968,207.0,6,6,291.75,284.9360748630709,6.020784186326352,5.734187681206059,12,12,3,3,1,1,0.0,0.5
clean_base,7967,GRAPH7,5,0.8565264293419633,0.9017603634298694,0.9446757882212968,207.0,6,6,283.75,277.6934341759516,6.038550788936432,5.748885146988736,7,7,1,1,1,1,0.0,0.5454545454545454
clean_base,7356,SEG,0,0.8705826170009551,0.9263211382113821,0.935351462288353,,5,5,375.8477631085023,400.5756851698602,5.604855111174197,5.135272114261897,15,31,6,13,2,1,0.5263157894736842,0.7058823529411764
clean_base,7356,SEG,5,0.8705826170009551,0.9263211382113821,0.935351462288353,,5,5,371.4335495461292,384.3330444827409,5.606588322977112,5.213390323744062,13,15,5,5,2,1,0.8000000000000002,0.88
clean_base,7356,GRAPH7,0,0.8705826170009551,0.9263211382113821,0.935351462288353,241.0,5,5,375.75,400.5756851698602,5.590032319739648,5.135272114261897,15,31,6,13,2,1,0.5263157894736842,0.7058823529411764
clean_base,7356,GRAPH7,5,0.8705826170009551,0.9263211382113821,0.935351462288353,241.0,5,5,371.25,384.3330444827409,5.593816177615277,5.213390323744062,13,15,5,5,2,1,0.8000000000000002,0.88
clean_base,7254,SEG,0,0.9060931899641577,0.9461077844311377,0.9554043839758125,,4,4,258.7645019878171,267.5218613006978,5.420310800765348,5.208454897529595,8,14,2,5,0,0,0.28571428571428575,0.7826086956521738
clean_base,7254,SEG,5,0.9060931899641577,0.9461077844311377,0.9554043839758125,,4,4,256.7645019878171,252.20815280171297,5.396059956440863,5.271655834604259,6,6,1,1,0,0,1.0,1.0
clean_base,7254,GRAPH7,0,0.9060931899641577,0.9461077844311377,0.9554043839758125,170.0,4,4,259.0,267.5218613006978,5.452360137441405,5.208454897529595,8,14,2,5,0,0,0.28571428571428575,0.7826086956521738
clean_base,7254,GRAPH7,5,0.9060931899641577,0.9461077844311377,0.9554043839758125,170.0,4,4,257.0,252.20815280171297,5.4305886210012595,5.271655834604259,6,6,1,1,0,0,1.0,1.0
clean_base,7257,SEG,0,0.7937743190661478,0.8914785142024764,0.8786791098348887,,4,4,269.37972567696687,292.45079348883235,5.196530196712045,4.9510938062778616,9,13,3,5,1,2,0.7499999999999999,0.5263157894736842
clean_base,7257,SEG,5,0.7937743190661478,0.8914785142024764,0.8786791098348887,,4,4,267.9655121145938,287.03657992645924,5.189093953677029,4.96744418524152,7,9,2,3,1,2,0.8,0.625
clean_base,7257,GRAPH7,0,0.7937743190661478,0.8914785142024764,0.8786791098348887,178.0,4,4,269.75,292.45079348883235,5.1660576194992025,4.9510938062778616,9,13,3,5,1,2,0.7499999999999999,0.5263157894736842
