stem,segmenter,iou_cpu_gpu,pixels_differ,segGPU_t100_n_components,segGPU_t100_total_length_px,segGPU_t100_mean_width_px,segGPU_t100_n_branches,segGPU_t100_n_junctions,segGPU_t100_cycle_rank,segGPU_degree5_n_components,segGPU_degree5_total_length_px,segGPU_degree5_mean_width_px,segGPU_degree5_n_branches,segGPU_degree5_n_junctions,segGPU_degree5_cycle_rank
7497,Learned,1.0,0,5,226.89444430272835,4.980909611170038,11,3,0,5,226.89444430272835,4.980909611170038,11,3,0
7498,Learned,1.0,0,4,177.4091629284897,6.924559662812755,4,0,0,4,177.4091629284897,6.924559662812755,4,0,0
7499,Learned,1.0,0,4,197.82337649086284,5.809636051289515,6,1,0,4,195.82337649086284,5.785379271734118,4,0,0
7500,Learned,1.0,0,4,259.45079348883235,5.92925782270006,6,1,0,4,259.45079348883235,5.92925782270006,6,1,0
7501,Learned,1.0,0,5,220.06601717798213,5.8640665394835,8,2,1,5,216.65180361560903,5.855219437218516,6,1,1
7502,Learned,1.0,0,4,239.3797256769668,5.465043127128396,5,1,1,4,239.3797256769668,5.465043127128396,5,1,1
7503,Learned,1.0,0,4,278.49242404917493,5.854545525704238,8,2,0,4,266.83556979968256,5.892785707155731,4,0,0
7504,Learned,0.9991823385118561,1,5,249.86500705120548,4.905778880222078,7,1,0,5,249.86500705120548,4.905778880222078,7,1,0
7505,Learned,0.9994019138755981,1,6,280.1198410471445,5.955084297171163,10,2,0,6,277.1198410471445,5.9217933595498975,8,1,0
7506,Learned,1.0,0,4,147.12489168102786,6.27155354660541,8,2,0,4,139.29646455628168,6.288735106447373,6,1,0
7507,Learned,1.0,0,4,188.7523086789974,7.555390273253423,8,2,0,4,185.3380951166243,7.450060805948018,6,1,0
7508,Learned,1.0,0,4,160.95331880577402,5.537626827898228,4,0,0,4,160.95331880577402,5.537626827898228,4,0,0
7509,Learned,1.0,0,5,170.53910524340094,6.497849942504999,5,0,0,5,170.53910524340094,6.497849942504999,5,0,0
7510,Learned,1.0,0,4,234.0660171779821,5.732277713254571,11,3,0,4,227.2375900532359,5.6998720724749985,8,2,0
7511,Learned,1.0,0,4,130.36753236814712,6.042900410243175,6,1,0,4,125.53910524340095,6.036331085814344,4,0,0
7512,Learned,1.0,0,4,263.1370849898476,6.088106982298313,10,3,0,4,263.1370849898476,6.088106982298313,10,3,0
7513,Learned,1.0,0,4,260.24978336205567,4.750396241225479,6,1,0,4,260.24978336205567,4.750396241225479,6,1,0
7514,Learned,1.0,0,5,306.03657992645924,6.325997198860691,14,5,1,5,303.0365799264593,6.29466717122382,12,4,1
7515,Learned,1.0,0,4,228.13708498984758,7.372275174544078,8,2,0,4,226.13708498984758,7.313658297743411,6,1,0
7516,Learned,1.0,0,4,273.0071426749364,6.941025511609244,14,5,0,4,261.35028842544403,6.953386377669953,10,3,0
7517,Learned,1.0,0,4,218.79393923933998,7.6069083969247195,9,3,1,4,218.79393923933998,7.6069083969247195,9,3,1
7518,Learned,1.0,0,4,167.8233764908628,6.316910568366185,8,2,0,4,157.58073580374352,6.034295640766476,4,0,0
7519,Learned,1.0,0,4,317.1787155501902,6.475164242040305,14,5,0,4,317.1787155501902,6.475164242040305,14,5,0
7520,Learned,1.0,0,4,253.96551211459376,5.613636028354549,12,4,0,4,253.96551211459376,5.613636028354549,12,4,0
