stem,segmenter,n_misaligned,payload_bytes,jpeg_bytes,jpeg_quality,raw_bytes,png_bytes,arm,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles,time_s
7267,Learned,0,2281,2227.0,28.0,65536,44738,GRAPH_TAGGED,4,247.78785023915185,6.175198568963214,11,4,1,17,10,0,
7267,Learned,0,2281,2227.0,28.0,65536,44738,SEG,4,284.37972567696687,6.404242322185591,17,7,1,7,13,0,
7268,Learned,0,2620,2569.0,29.0,65536,45398,REF,5,338.32085117392126,6.955152954909744,23,9,2,11,17,0,0.005226572975516319
7268,Learned,0,2620,2569.0,29.0,65536,45398,GRAPH,5,289.2963005358736,7.192779354746397,15,5,0,16,15,0,0.005461196065880358
7268,Learned,0,2620,2569.0,29.0,65536,45398,JPEG,5,341.7350647362942,7.233523484886209,22,9,2,10,16,0,0.27481141500175
7268,Learned,0,2620,2569.0,29.0,65536,45398,PRE,5,296.62236636408613,7.242105006729632,15,5,0,16,15,0,
7268,Learned,0,2620,2569.0,29.0,65536,45398,GRAPH_TAGGED,5,289.2963005358736,7.192779354746397,15,5,0,16,15,0,
7268,Learned,0,2620,2569.0,29.0,65536,45398,SEG,5,307.62236636408625,7.399199457184821,15,5,0,5,15,0,
7269,Learned,0,2286,2279.0,26.0,65536,45739,REF,4,303.73506473629425,4.7424048600634965,18,7,2,9,13,0,0.004723797086626291
7269,Learned,0,2286,2279.0,26.0,65536,45739,GRAPH,4,256.70896294545673,4.813280293335192,8,3,1,12,8,0,0.005306383012793958
7269,Learned,0,2286,2279.0,26.0,65536,45739,JPEG,4,306.32085117392114,4.946602106945245,14,5,0,5,13,0,0.2672075090231374
7269,Learned,0,2286,2279.0,26.0,65536,45739,PRE,4,261.5929291125633,4.853237083121774,8,3,1,12,8,0,
7269,Learned,0,2286,2279.0,26.0,65536,45739,GRAPH_TAGGED,4,256.70896294545673,4.813280293335192,8,3,1,12,8,0,
7269,Learned,0,2286,2279.0,26.0,65536,45739,SEG,4,279.42135623730945,4.92188328195882,11,4,1,4,10,0,
7270,Learned,0,2436,2402.0,29.0,65536,45065,REF,6,280.10764773832466,5.400836507525884,10,2,0,2,14,0,0.004531719954684377
7270,Learned,0,2436,2402.0,29.0,65536,45065,GRAPH,6,262.4702569789315,5.504680562433719,6,0,0,0,12,0,0.0051642959006130695
7270,Learned,0,2436,2402.0,29.0,65536,45065,JPEG,6,267.03657992645924,5.503104444915904,6,0,0,0,12,0,0.27170402801129967
7270,Learned,0,2436,2402.0,29.0,65536,45065,PRE,6,265.79393923934,5.5226530886790135,6,0,0,0,12,0,
7270,Learned,0,2436,2402.0,29.0,65536,45065,GRAPH_TAGGED,6,262.4702569789315,5.504680562433719,6,0,0,0,12,0,
7270,Learned,0,2436,2402.0,29.0,65536,45065,SEG,6,273.03657992645924,5.566989497165003,8,1,0,1,13,0,
7272,Learned,0,2436,2381.0,30.0,65536,44984,REF,6,306.7056274847714,5.477932636526503,12,3,0,3,15,0,0.004724978003650904
7272,Learned,0,2436,2381.0,30.0,65536,44984,GRAPH,6,282.5155400302092,5.604062797818844,10,3,0,9,13,0,0.0054680900648236275
7272,Learned,0,2436,2381.0,30.0,65536,44984,JPEG,6,316.2203461105329,6.049183875897889,14,4,0,4,16,0,0.27310028998181224
7272,Learned,0,2436,2381.0,30.0,65536,44984,PRE,6,289.46298679765215,5.631343730378325,10,3,0,9,13,0,
7272,Learned,0,2436,2381.0,30.0,65536,44984,GRAPH_TAGGED,6,282.5155400302092,5.604062797818844,10,3,0,9,13,0,
7272,Learned,0,2436,2381.0,30.0,65536,44984,SEG,6,297.87720036002526,5.694790865227503,12,3,1,4,14,0,
7273,Learned,0,1883,1728.0,21.0,65536,45902,REF,5,209.23759005323598,7.506626552697358,16,6,2,7,13,0,0.0043546679662540555
7273,Learned,0,1883,1728.0,21.0,65536,45902,GRAPH,5,145.29671248694567,8.98220535141896,5,1,0,3,9,0,0.0033758729696273804
7273,Learned,0,1883,1728.0,21.0,65536,45902,JPEG,42,643.6295090390227,6.21033671691363,69,15,4,16,92,0,0.27269659098237753
7273,Learned,0,1883,1728.0,21.0,65536,45902,PRE,5,149.4386001800126,8.99982062834897,5,1,0,3,9,0,
7273,Learned,0,1883,1728.0,21.0,65536,45902,GRAPH_TAGGED,5,145.29671248694567,8.98220535141896,5,1,0,3,9,0,
7273,Learned,0,1883,1728.0,21.0,65536,45902,SEG,5,156.26702730475878,8.908605399089929,7,1,1,2,10,0,
7274,Learned,0,1687,1631.0,21.0,65536,45542,REF,4,163.33809511662423,5.354921456641599,8,2,0,2,10,0,0.003873219946399331
7274,Learned,0,1687,1631.0,21.0,65536,45542,GRAPH,4,152.09457463933308,5.357682910584333,4,0,0,0,8,0,0.0037273979978635907
7274,Learned,0,1687,1631.0,21.0,65536,45542,JPEG,31,465.3746750430835,5.660530022612167,55,12,2,14,72,0,0.28732567105907947
7274,Learned,0,1687,1631.0,21.0,65536,45542,PRE,4,154.92388155425115,5.403104745971219,4,0,0,0,8,0,
7274,Learned,0,1687,1631.0,21.0,65536,45542,GRAPH_TAGGED,4,152.09457463933308,5.357682910584333,4,0,0,0,8,0,
7274,Learned,0,1687,1631.0,21.0,65536,45542,SEG,4,156.33809511662426,5.412327429900069,6,1,0,1,9,0,
7275,Learned,0,2263,2233.0,27.0,65536,45202,REF,5,264.5218613006978,5.386289886322036,13,4,0,4,14,0,0.004539862973615527
7275,Learned,0,2263,2233.0,27.0,65536,45202,GRAPH,5,231.6929976408511,5.219022218115076,8,1,0,9,12,0,0.00509034504648298
7275,Learned,0,2263,2233.0,27.0,65536,45202,JPEG,5,258.79393923934,5.364121320808011,11,3,0,3,13,0,0.27367566293105483
7275,Learned,0,2263,2233.0,27.0,65536,45202,PRE,5,234.79393923933998,5.26942217047199,8,1,0,9,12,0,
7275,Learned,0,2263,2233.0,27.0,65536,45202,GRAPH_TAGGED,5,231.6929976408511,5.219022218115076,8,1,0,9,12,0,
7275,Learned,0,2263,2233.0,27.0,65536,45202,SEG,5,244.79393923933998,5.350216841385885,9,2,0,2,12,0,
7276,Learned,0,2243,2188.0,25.0,65536,45914,REF,5,242.27922061357853,6.237662912208295,11,3,0,3,13,0,0.004388630040921271
7276,Learned,0,2243,2188.0,25.0,65536,45914,GRAPH,5,218.80410751435375,6.268817995890735,6,1,0,2,10,0,0.004669886082410812
7276,Learned,0,2243,2188.0,25.0,65536,45914,JPEG,5,241.96551211459382,6.7298427009130855,11,3,0,3,13,0,0.28006176301278174
7276,Learned,0,2243,2188.0,25.0,65536,45914,PRE,5,222.37972567696687,6.294886451299998,6,1,0,2,10,0,
7276,Learned,0,2243,2188.0,25.0,65536,45914,GRAPH_TAGGED,5,218.80410751435375,6.268817995890735,6,1,0,2,10,0,
7276,Learned,0,2243,2188.0,25.0,65536,45914,SEG,5,228.37972567696687,6.4563961980424125,7,1,0,1,11,0,
7277,Learned,0,2398,2262.0,27.0,65536,45572,REF,5,291.9655121145938,4.899822357719648,12,4,1,4,12,0,0.004657613928429782
7277,Learned,0,2398,2262.0,27.0,65536,45572,GRAPH,5,258.8821719434177,5.286165511200921,9,3,1,10,10,0,0.005334798013791442
7277,Learned,0,2398,2262.0,27.0,65536,45572,JPEG,5,312.79393923934,5.405696666420696,14,5,1,5,13,0,0.270531938993372
7277,Learned,0,2398,2262.0,27.0,65536,45572,PRE,5,264.48023074035524,5.294125841386053,9,3,1,10,10,0,
7277,Learned,0,2398,2262.0,27.0,65536,45572,GRAPH_TAGGED,5,258.8821719434177,5.286165511200921,9,3,1,10,10,0,
7277,Learned,0,2398,2262.0,27.0,65536,45572,SEG,5,275.8944443027283,5.439539944203701,10,3,1,3,11,0,
7278,Learned,0,2314,2272.0,30.0,65536,44626,REF,4,260.4213562373095,5.7977855602465,12,4,0,4,12,0,0.004502800991758704
7278,Learned,0,2314,2272.0,30.0,65536,44626,GRAPH,4,241.35368627761977,5.904975759886471,8,2,0,6,10,0,0.0049064799677580595
7278,Learned,0,2314,2272.0,30.0,65536,44626,JPEG,4,260.7645019878171,5.923162334529933,12,4,0,4,12,0,0.2674208100652322
7278,Learned,0,2314,2272.0,30.0,65536,44626,PRE,4,245.52186130069782,5.9291467357606935,8,2,0,6,10,0,
7278,Learned,0,2314,2272.0,30.0,65536,44626,GRAPH_TAGGED,4,241.35368627761977,5.904975759886471,8,2,0,6,10,0,
7278,Learned,0,2314,2272.0,30.0,65536,44626,SEG,4,249.52186130069782,5.968633336543949,8,2,0,2,10,0,
7279,Learned,0,1545,1455.0,20.0,65536,45232,REF,4,137.88225099390854,5.449043628851513,6,1,0,1,9,0,0.0038036610931158066
7279,Learned,0,1545,1455.0,20.0,65536,45232,GRAPH,4,126.0676411266443,5.930724110832706,4,0,0,0,8,0,0.003073852974921465
7279,Learned,0,1545,1455.0,20.0,65536,45232,JPEG,38,483.13203435596427,5.3998040157491705,60,11,0,11,87,0,0.2636096370406449
7279,Learned,0,1545,1455.0,20.0,65536,45232,PRE,4,128.39696961967,5.982453944536168,4,0,0,0,8,0,
7279,Learned,0,1545,1455.0,20.0,65536,45232,GRAPH_TAGGED,4,126.0676411266443,5.930724110832706,4,0,0,0,8,0,
7279,Learned,0,1545,1455.0,20.0,65536,45232,SEG,4,128.39696961967002,6.0743195708769875,4,0,0,0,8,0,
7280,Learned,0,2384,2384.0,26.0,65536,45914,REF,4,314.8061325481597,6.392804313496796,20,9,3,10,12,0,0.00492380210198462
7280,Learned,0,2384,2384.0,26.0,65536,45914,GRAPH,4,259.2471166964986,7.114936416339146,8,2,1,10,9,0,0.0051078940741717815
7280,Learned,0,2384,2384.0,26.0,65536,45914,JPEG,4,292.83556979968256,7.078083457609168,11,4,1,4,10,0,0.26971413497813046
7280,Learned,0,2384,2384.0,26.0,65536,45914,PRE,4,267.17871555019025,7.159128260585946,8,2,1,10,9,0,
7280,Learned,0,2384,2384.0,26.0,65536,45914,GRAPH_TAGGED,4,259.2471166964986,7.114936416339146,8,2,1,10,9,0,
7280,Learned,0,2384,2384.0,26.0,65536,45914,SEG,4,282.4213562373095,7.284544050093818,11,4,1,4,10,0,
7281,Learned,0,2153,2101.0,26.0,65536,45315,REF,4,233.33809511662423,5.223770682051517,6,1,0,1,9,0,0.004117202013731003
7281,Learned,0,2153,2101.0,26.0,65536,45315,GRAPH,4,222.39157482618356,5.0482666979401625,4,0,0,0,8,0,0.004947151057422161
7281,Learned,0,2153,2101.0,26.0,65536,45315,JPEG,5,238.68124086713186,4.923710097719453,7,1,0,1,11,0,0.26942720997612923
7281,Learned,0,2153,2101.0,26.0,65536,45315,PRE,4,225.68124086713186,5.065518269715173,4,0,0,0,8,0,
7281,Learned,0,2153,2101.0,26.0,65536,45315,GRAPH_TAGGED,4,222.39157482618356,5.0482666979401625,4,0,0,0,8,0,
7281,Learned,0,2153,2101.0,26.0,65536,45315,SEG,4,225.6812408671318,5.113615373469596,4,0,0,0,8,0,
7283,Learned,0,2540,2456.0,32.0,65536,44546,REF,5,309.56349186104046,6.258483332911577,13,4,0,4,14,0,0.004677572986111045
7283,Learned,0,2540,2456.0,32.0,65536,44546,GRAPH,5,283.1345209037868,6.262882546256167,9,3,0,9,11,0,0.005413328995928168
7283,Learned,0,2540,2456.0,32.0,65536,44546,JPEG,5,302.492424049175,6.328827759440394,15,5,0,5,15,0,0.2759816990001127
