dataset,id,format,bytes,decode_descr_s,lossless_mask,external,fg_px,exact_n_components,relerr_n_components,exact_total_length_px,relerr_total_length_px,exact_mean_width_px,relerr_mean_width_px,exact_n_branches,relerr_n_branches,exact_n_junctions,relerr_n_junctions,exact_cycle_rank,relerr_cycle_rank,codec,swc_dup_nodes
ORGANELLE,7250,skel_chain,354,0.004483085009269416,False,False,1577,True,0.0,True,0.0,False,0.0035360694124117464,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7250,v7_struct_e0.75,244,0.0017318000318482518,False,False,1577,True,0.0,False,0.000939010791758097,False,0.000977365573242742,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7250,v7_struct_e3,224,0.001587391016073525,False,False,1577,True,0.0,False,0.000939010791758097,False,0.00010651530367603501,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7250,swc,1600,0.0011647229548543692,False,False,1577,True,0.0,False,0.03287515574290508,False,0.0006238163937010305,True,0.0,True,0.0,True,0.0,,1.0
ORGANELLE,7250,swc_gz,697,0.0011642089812085032,False,False,1577,True,0.0,False,0.03287515574290508,False,0.0006238163937010305,True,0.0,True,0.0,True,0.0,,1.0
ORGANELLE,7251,mask_zlib,395,0.0050484060775488615,True,False,1296,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7251,mask_png,537,0.005333179025910795,True,False,1296,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7251,mask_webp_lossless,346,0.008758252020925283,True,False,1296,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7251,mask_jbig2,286,0.007623007986694574,True,True,1296,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,jbig2,
ORGANELLE,7251,skel_chain,318,0.0042450480395928025,False,False,1296,True,0.0,True,0.0,False,0.0008676386054322887,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7251,v7_struct_e0.75,217,0.0015475049149245024,False,False,1296,True,0.0,False,0.0007799030755778734,False,0.011131149073163637,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7251,v7_struct_e3,191,0.0013019610196352005,False,False,1296,True,0.0,False,0.0007799030755778734,False,0.010418105432957165,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7251,swc,1549,0.0016631580656394362,False,False,1296,True,0.0,False,0.03445430360396269,False,0.011488663716240695,True,0.0,True,0.0,True,0.0,,1.0
ORGANELLE,7251,swc_gz,681,0.0011824120301753283,False,False,1296,True,0.0,False,0.03445430360396269,False,0.011488663716240695,True,0.0,True,0.0,True,0.0,,1.0
ORGANELLE,7252,mask_zlib,277,0.004123487044125795,True,False,1085,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7252,mask_png,413,0.004361554980278015,True,False,1085,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7252,mask_webp_lossless,244,0.00490792200434953,True,False,1085,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7252,mask_jbig2,237,0.005764240049757063,True,True,1085,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,jbig2,
ORGANELLE,7252,skel_chain,199,0.0032573300413787365,False,False,1085,True,0.0,True,0.0,False,0.007209224055764735,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7252,v7_struct_e0.75,143,0.0009206309914588928,False,False,1085,True,0.0,False,0.0015326773230370007,False,0.012856272636044191,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7252,v7_struct_e3,125,0.0008385080145671964,False,False,1085,True,0.0,False,0.0015326773230370007,False,0.00997890057501071,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7252,swc,913,0.0006263830000534654,False,False,1085,True,0.0,False,0.03710698909105852,False,0.003389782101005894,True,0.0,True,0.0,True,0.0,,0.0
ORGANELLE,7252,swc_gz,435,0.0006587400566786528,False,False,1085,True,0.0,False,0.03710698909105852,False,0.003389782101005894,True,0.0,True,0.0,True,0.0,,0.0
ORGANELLE,7269,mask_zlib,415,0.005677042994648218,True,False,1398,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7269,mask_png,558,0.006095656077377498,True,False,1398,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7269,mask_webp_lossless,368,0.007171576959080994,True,False,1398,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7269,mask_jbig2,280,0.007399401045404375,True,True,1398,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,jbig2,
ORGANELLE,7269,skel_chain,308,0.004421693040058017,False,False,1398,True,0.0,True,0.0,False,0.004587897072248169,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7269,v7_struct_e0.75,222,0.0015898189740255475,False,False,1398,True,0.0,False,4.9172010214621625e-05,False,0.011446991363813181,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7269,v7_struct_e3,199,0.0013815059792250395,False,False,1398,True,0.0,False,4.9172010214621625e-05,False,0.010569936875695296,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7269,swc,1588,0.0010975089389830828,False,False,1398,True,0.0,False,0.026763235767609268,False,0.0051398541700222984,True,0.0,True,0.0,True,0.0,,2.0
ORGANELLE,7269,swc_gz,672,0.001077492954209447,False,False,1398,True,0.0,False,0.026763235767609268,False,0.0051398541700222984,True,0.0,True,0.0,True,0.0,,2.0
ORGANELLE,7270,mask_zlib,390,0.004790136939845979,True,False,1509,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7270,mask_png,519,0.004973454982973635,True,False,1509,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7270,mask_webp_lossless,336,0.005952890031039715,True,False,1509,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7270,mask_jbig2,279,0.007434651954099536,True,True,1509,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,jbig2,
ORGANELLE,7270,skel_chain,295,0.0036835960345342755,False,False,1509,True,0.0,True,0.0,False,0.002719710399455227,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7270,v7_struct_e0.75,184,0.0011588039342314005,False,False,1509,True,0.0,False,0.0014007195620802022,False,0.00031840578353306657,True,0.0,True,0.0,True,0.0,,
ORGANELLE,7270,v7_struct_e3,166,0.001007811981253326,False,False,1509,True,0.0,False,0.0014007195620802022,False,0.0011301802624496546,True,0.0,True,0.0,True,0.0,,
