dataset,group,id,arm,L,bytes,structure_bytes,n_components,total_length_px,mean_width_px,n_branches,n_junctions,cycle_rank,n_junction_nodes,n_endpoints,n_isolated_cycles,junc_f1
UIT,UIT_12,UIT_12_y256x512,SEG,5,,954,32,1451.4377336282353,7.2977149701367185,61,15,3,24,82,0,0.6285714285714286
UIT,UIT_12,UIT_12_y256x512,SEG,auto,,954,26,1389.3250352560271,7.237618766686563,48,12,2,24,82,0,0.5517241379310345
UIT,UIT_12,UIT_12_y256x512,GRAPH7,5,8437.0,954,32,1452.0,7.2949545444976485,61,15,3,22,82,0,0.6285714285714286
UIT,UIT_12,UIT_12_y256x512,GRAPH7,auto,8437.0,954,26,1389.75,7.234126008056659,48,12,2,22,82,0,0.5517241379310345
UIT,UIT_12,UIT_12_y256x512,JPEG,5,8409.0,954,32,1429.2955980045042,7.1363108226436855,57,13,1,20,82,0,0.5454545454545455
UIT,UIT_12,UIT_12_y256x512,JPEG,auto,8409.0,954,26,1380.2539674441614,7.108273487501384,45,10,1,20,82,0,0.5185185185185185
UIT,UIT_12,UIT_12_y256x768,REF,5,,562,11,1030.7371567773473,6.57228594638581,55,25,7,38,47,1,1.0
UIT,UIT_12,UIT_12_y256x768,REF,auto,,562,10,1017.0803025278549,6.577572074343945,52,24,7,38,47,1,1.0
UIT,UIT_12,UIT_12_y256x768,SEG,5,,562,10,935.7371567773474,7.504169382624677,39,15,1,18,36,0,0.5499999999999999
UIT,UIT_12,UIT_12_y256x768,SEG,auto,,562,9,916.4234482783625,7.518239411454283,36,14,1,18,36,0,0.5263157894736842
UIT,UIT_12,UIT_12_y256x768,GRAPH7,5,6502.0,562,10,936.75,7.539408737721411,39,15,1,18,36,0,0.5499999999999999
UIT,UIT_12,UIT_12_y256x768,GRAPH7,auto,6502.0,562,9,917.5,7.5532464687308245,36,14,1,18,36,0,0.5263157894736842
